epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02246,1.24965,3.18315,1.79827,0.00426,0.91667,0.2764,0.15584,1.2904,3.23229,2.27129,0.000407801,0.000407801,0.000407801
2,13.9354,1.22316,2.62871,1.71594,0.31223,0.43175,0.38405,0.21203,1.56274,2.33031,2.72222,0.000770053,0.000770053,0.000770053
3,19.1477,1.32549,2.43247,1.81131,0.28741,0.55456,0.39736,0.2001,1.67066,2.96223,2.8283,0.0010773,0.0010773,0.0010773
4,24.1936,1.31979,2.39174,1.76901,0.3056,0.46379,0.43312,0.2401,1.61305,3.67925,2.62059,0.0010025,0.0010025,0.0010025
5,30.2168,1.31598,2.24785,1.77712,0.39576,0.45381,0.46769,0.27048,1.52637,2.35592,2.26584,0.00092,0.00092,0.00092
6,35.7696,1.31284,3.06299,2.05722,0.39729,0.53819,0.49589,0.29007,1.53112,3.12228,2.36654,0.0008375,0.0008375,0.0008375
7,41.6245,1.29293,2.73379,2.05591,0.30638,0.61756,0.44528,0.18033,2.08159,2.61335,2.90739,0.000755,0.000755,0.000755
8,46.4295,1.3129,2.57872,2.05192,0.52296,0.45337,0.49123,0.27895,1.83604,2.03247,2.70769,0.0006725,0.0006725,0.0006725
9,52.0674,1.20467,2.55986,1.92866,0.60111,0.53312,0.56721,0.32504,1.75158,2.20648,2.48012,0.00059,0.00059,0.00059
10,56.9272,1.15648,2.4461,1.93929,0.54895,0.66121,0.58582,0.37864,1.53145,2.15293,2.30899,0.0005075,0.0005075,0.0005075
11,61.7919,1.21717,2.39255,1.93229,0.50449,0.61667,0.59939,0.3593,1.42991,2.10625,2.20544,0.000425,0.000425,0.000425
12,67.6291,1.12065,2.27668,1.87293,0.59881,0.60913,0.64786,0.38076,1.47852,2.03516,2.18893,0.0003425,0.0003425,0.0003425
13,72.3904,1.1658,2.30362,1.88996,0.52514,0.63343,0.62734,0.36908,1.52324,2.0292,2.22463,0.00026,0.00026,0.00026
14,78.2151,1.15567,2.26258,1.8437,0.57941,0.58735,0.62091,0.37502,1.55642,1.97259,2.28824,0.0001775,0.0001775,0.0001775
15,82.9393,1.09487,2.17101,1.86342,0.62116,0.55534,0.62554,0.39318,1.54916,1.9151,2.265,9.5e-05,9.5e-05,9.5e-05
